time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate,
0.01,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.02,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.03,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.04,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.05,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.06,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.07,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.08,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.09,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.10,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.11,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.12,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.13,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.14,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.15,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.16,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.17,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.18,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.19,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.21,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.22,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.23,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.24,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.25,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.26,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.27,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.28,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.29,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.30,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.31,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.32,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.33,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.34,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.35,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.36,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.37,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.38,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.39,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.41,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.42,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.43,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.44,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.45,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.46,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.47,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.48,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.49,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.50,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.51,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.52,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.53,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.54,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.55,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.56,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.57,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.58,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.59,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.61,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.62,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.63,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.64,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.65,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.66,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.67,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.68,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.69,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.70,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.71,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.72,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.73,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
