time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate,
0.11,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.30,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.50,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.70,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.90,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.01,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.10,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.31,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.50,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.63,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.72,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.92,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.01,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:10:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.17,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:10:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.28,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:10:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.30,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:10:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.40,1,starting,0,0,0,0,starting,0,0,0,0,0,11-17:10:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
